"","stat.socio","dwelling.size","dwelling.tenure2","region.f","state.f","municipality.pop","ac.acquire","total_niv","material.wall","material.roof","material.floor","antigua","cuart_dorm","fridge.adopt","washing.adopt","iron.adopt","tv.adopt","celphone.adopt","fan.adopt","cons.month.kwh.hig1"
"9358","mid-high","101-150m2","Owned","Temperate","Guanajuato","15k-100k","No",2,"brick","concrete","wood/mosaic",16,3,"Yes","Yes","No","Yes","Yes","No",81.9284587420262
"9363","mid-high","31-55m2","Owned","Temperate","Guanajuato","15k-100k","No",2,"brick","concrete","cement",20,2,"Yes","Yes","Yes","Yes","Yes","Yes",104.624411610879
"9365","mid-high","31-55m2","Owned","Temperate","Guanajuato","15k-100k","No",2,"brick","concrete","wood/mosaic",99,3,"Yes","Yes","Yes","Yes","Yes","No",108.511506276151
"9366","mid-high","31-55m2","Rented","Temperate","Guanajuato","15k-100k","No",2,"brick","concrete","cement",25,2,"Yes","Yes","Yes","Yes","Yes","No",242.593424051944
"9367","mid-high","31-55m2","Owned","Temperate","Guanajuato","15k-100k","No",2,"brick","concrete","wood/mosaic",20,2,"Yes","Yes","Yes","Yes","Yes","Yes",116.350572741615
"9369","mid-high","101-150m2","Owned","Temperate","Guanajuato","15k-100k","No",2,"brick","concrete","wood/mosaic",20,3,"Yes","Yes","Yes","Yes","Yes","Yes",107.996861924686
"9371","mid-high","76-100m2","Owned","Temperate","Guanajuato","15k-100k","No",2,"brick","concrete","wood/mosaic",99,2,"Yes","Yes","Yes","Yes","Yes","No",49.4308808632915
"9372","mid-high","76-100m2","Owned","Temperate","Guanajuato","15k-100k","No",3,"brick","concrete","wood/mosaic",23,1,"Yes","No","Yes","Yes","Yes","No",83.2939330543933
"9374","mid-high","76-100m2","Owned","Temperate","Guanajuato","15k-100k","No",2,"brick","concrete","wood/mosaic",20,2,"Yes","Yes","No","Yes","Yes","Yes",108.511506276151
"9375","mid-high","31-55m2","Owned","Temperate","Guanajuato","15k-100k","No",1,"brick","concrete","wood/mosaic",17,2,"Yes","Yes","No","Yes","Yes","No",174.825481798715
"9378","mid-low","101-150m2","Owned","Temperate","Guanajuato","15k-100k","No",1,"brick","concrete","wood/mosaic",15,3,"Yes","Yes","Yes","Yes","Yes","No",126.245205987876
"9380","mid-low","56-75m2","Owned","Temperate","Guanajuato","15k-100k","No",1,"brick","concrete","wood/mosaic",11,1,"Yes","Yes","Yes","Yes","Yes","No",95.0898552712806
"9383","mid-low","56-75m2","Owned","Temperate","Guanajuato","15k-100k","No",1,"brick","concrete","wood/mosaic",10,1,"Yes","Yes","Yes","Yes","Yes","No",95.0502766905115
"9384","mid-low","31-55m2","Owned","Temperate","Guanajuato","15k-100k","No",1,"brick","concrete","wood/mosaic",10,1,"Yes","Yes","Yes","Yes","Yes","Yes",121.944594412201
"9387","mid-low","76-100m2","Owned","Temperate","Guanajuato","15k-100k","No",2,"brick","concrete","wood/mosaic",10,3,"Yes","Yes","Yes","Yes","Yes","No",130.018176829687
"9388","mid-low","31-55m2","Owned","Temperate","Guanajuato","15k-100k","No",1,"brick","concrete","wood/mosaic",15,1,"Yes","Yes","No","Yes","Yes","No",119.454379808341
"9392","mid-low","56-75m2","Owned","Temperate","Guanajuato","15k-100k","No",1,"brick","concrete","wood/mosaic",11,1,"No","No","No","Yes","Yes","No",68.4473009803523
"9393","mid-low","56-75m2","Owned","Temperate","Guanajuato","15k-100k","No",1,"brick","concrete","wood/mosaic",12,1,"Yes","Yes","Yes","Yes","Yes","No",72.049790505634
"9395","mid-low","151-200m2","Owned","Temperate","Guanajuato","15k-100k","No",1,"brick","flat beam","cement",59,4,"Yes","Yes","Yes","Yes","Yes","Yes",139.190785383712
"9396","mid-low","101-150m2","Owned","Temperate","Guanajuato","15k-100k","Yes",2,"brick","concrete","cement",30,2,"Yes","Yes","Yes","Yes","Yes","Yes",128.419152382238
"9397","mid-low","Don't know","Borrowed","Temperate","Guanajuato","15k-100k","No",2,"brick","concrete","wood/mosaic",99,1,"Yes","Yes","Yes","Yes","Yes","Yes",34.8240654110564
"9398","mid-low","76-100m2","Owned","Temperate","Guanajuato","15k-100k","No",2,"brick","concrete","wood/mosaic",30,2,"Yes","Yes","Yes","Yes","Yes","Yes",76.8551875753492
"9399","mid-low","31-55m2","Owned","Temperate","Guanajuato","15k-100k","No",1,"brick","asbestus laminate","cement",37,3,"Yes","No","Yes","Yes","Yes","No",83.0972465919827
"9401","mid-low","151-200m2","Borrowed","Temperate","Guanajuato","15k-100k","No",1,"brick","concrete","wood/mosaic",99,1,"Yes","Yes","Yes","Yes","Yes","No",125.968516359147
"9403","mid-low","56-75m2","Owned","Temperate","Guanajuato","15k-100k","No",1,"brick","concrete","wood/mosaic",45,1,"Yes","Yes","Yes","Yes","No","No",62.8565522088769
"9404","mid-low","76-100m2","Owned","Temperate","Guanajuato","15k-100k","No",1,"brick","concrete","wood/mosaic",99,1,"Yes","No","No","Yes","Yes","Yes",89.5718045620192
"9410","mid-low","<201m2","Owned","Temperate","Guanajuato","15k-100k","No",2,"brick","concrete","wood/mosaic",45,3,"Yes","Yes","Yes","Yes","Yes","Yes",139.020860675554
"9411","mid-low","56-75m2","Owned","Temperate","Guanajuato","15k-100k","No",2,"brick","concrete","cement",40,2,"Yes","Yes","Yes","Yes","Yes","No",86.4843267713835
"9414","mid-low","31-55m2","Owned","Temperate","Guanajuato","15k-100k","No",1,"brick","concrete","cement",45,2,"Yes","No","No","Yes","Yes","No",159.92159977896
"9415","mid-low","56-75m2","Owned","Temperate","Guanajuato","15k-100k","No",1,"brick","metal laminate","cement",10,1,"Yes","No","No","No","No","Yes",30.0207460440142
"9416","mid-low","56-75m2","Owned","Temperate","Guanajuato","15k-100k","No",1,"brick","concrete","cement",99,2,"Yes","Yes","No","Yes","Yes","No",130.762002694844
"9418","mid-low","56-75m2","Rented","Temperate","Guanajuato","15k-100k","No",1,"brick","concrete","cement",99,2,"Yes","Yes","No","Yes","Yes","No",92.0620191658793
"9421","mid-low","151-200m2","Owned","Temperate","Guanajuato","15k-100k","No",2,"brick","concrete","wood/mosaic",38,6,"Yes","Yes","Yes","Yes","Yes","Yes",289.574152103336
"9422","mid-low","101-150m2","Rented","Temperate","Guanajuato","15k-100k","No",2,"brick","concrete","wood/mosaic",30,1,"Yes","No","No","Yes","Yes","No",74.6305169388582
"9423","mid-low","31-55m2","Owned","Temperate","Guanajuato","15k-100k","No",1,"brick","asbestus laminate","cement",30,2,"Yes","Yes","No","Yes","Yes","No",156.353180907647
"9425","mid-low","<201m2","Owned","Temperate","Guanajuato","15k-100k","No",2,"brick","concrete","cement",27,3,"Yes","Yes","No","Yes","Yes","No",159.222664083478
"9426","mid-low","101-150m2","Owned","Temperate","Guanajuato","15k-100k","No",1,"brick","concrete","cement",30,1,"Yes","No","Yes","Yes","Yes","No",83.0972465919827
"9427","mid-low","76-100m2","Borrowed","Temperate","Guanajuato","15k-100k","No",1,"brick","concrete","wood/mosaic",99,2,"Yes","No","No","Yes","Yes","No",79.1129032258064
"9430","mid-low","76-100m2","Owned","Temperate","Guanajuato","15k-100k","No",1,"brick","concrete","cement",19,3,"Yes","Yes","No","Yes","Yes","No",120.450465649885
"9432","mid-low","76-100m2","Owned","Temperate","Guanajuato","15k-100k","No",1,"brick","concrete","cement",12,1,"Yes","No","Yes","Yes","Yes","No",70.2485457429931
"9434","mid-low","101-150m2","Owned","Temperate","Guanajuato","2.5k-15k","No",1,"brick","concrete","cement",10,3,"Yes","Yes","Yes","Yes","Yes","No",143.479300499643
"9435","mid-low","56-75m2","Rented","Temperate","Guanajuato","2.5k-15k","No",1,"brick","concrete","cement",99,1,"No","No","No","No","Yes","No",36.6052963430013
"9438","mid-low","<201m2","Owned","Temperate","Guanajuato","2.5k-15k","No",2,"brick","concrete","wood/mosaic",5,3,"Yes","Yes","Yes","Yes","Yes","No",206.820819230504
"9439","mid-low","56-75m2","Other","Temperate","Guanajuato","2.5k-15k","No",2,"brick","asbestus laminate","cement",15,2,"Yes","Yes","No","Yes","Yes","No",85.5874611958429
"9440","mid-low","31-55m2","Borrowed","Temperate","Guanajuato","2.5k-15k","No",1,"brick","concrete","cement",25,2,"Yes","Yes","Yes","Yes","Yes","No",98.0385342151437
"9441","mid-low","101-150m2","Owned","Temperate","Guanajuato","2.5k-15k","No",1,"brick","concrete","wood/mosaic",5,2,"Yes","Yes","Yes","Yes","Yes","No",131.905452827642
"9442","mid-low","101-150m2","Borrowed","Temperate","Guanajuato","2.5k-15k","No",2,"brick","concrete","wood/mosaic",99,1,"Yes","No","No","Yes","Yes","Yes",105.21400644763
"9443","mid-low",">30m2","Rented","Temperate","Guanajuato","2.5k-15k","No",1,"brick","concrete","wood/mosaic",99,2,"Yes","Yes","Yes","Yes","Yes","Yes",164.097658581107
"9444","mid-low","101-150m2","Owned","Temperate","Guanajuato","2.5k-15k","No",2,"brick","concrete","wood/mosaic",15,2,"No","No","Yes","Yes","No","No",30.5128894217849
"9447","mid-low","101-150m2","Owned","Temperate","Guanajuato","2.5k-15k","No",2,"brick","concrete","wood/mosaic",15,3,"Yes","Yes","Yes","Yes","Yes","Yes",88.9550209205021
"9448","mid-low","101-150m2","Rented","Temperate","Guanajuato","2.5k-15k","No",1,"brick","concrete","cement",99,1,"Yes","Yes","Yes","Yes","Yes","Yes",30.0207460440142
"9449","mid-low","<201m2","Owned","Temperate","Guanajuato","2.5k-15k","No",3,"brick","concrete","cement",14,3,"Yes","Yes","Yes","Yes","No","No",175.554672929474
"9450","mid-low","76-100m2","Rented","Temperate","Guanajuato","2.5k-15k","No",2,"brick","concrete","cement",40,1,"Yes","Yes","Yes","Yes","Yes","No",143.438903087656
"9452","mid-low","101-150m2","Owned","Temperate","Guanajuato","2.5k-15k","No",1,"adobe","tile","cement",38,3,"Yes","Yes","No","Yes","Yes","No",120.862970711297
"9455","mid-low","56-75m2","Owned","Temperate","Guanajuato","2.5k-15k","No",1,"brick","concrete","cement",98,2,"Yes","Yes","Yes","Yes","Yes","No",81.6031178296666
"9464","mid-low","151-200m2","Owned","Temperate","Guanajuato","2.5k-15k","No",1,"brick","concrete","wood/mosaic",38,1,"No","Yes","No","Yes","No","No",233.181802225577
"9468","mid-low","151-200m2","Owned","Temperate","Guanajuato","2.5k-15k","No",1,"brick","concrete","wood/mosaic",28,3,"Yes","Yes","Yes","Yes","Yes","Yes",263.070935726182
"9469","mid-low","<201m2","Owned","Temperate","Guanajuato","2.5k-15k","No",1,"brick","concrete","wood/mosaic",30,4,"Yes","Yes","Yes","Yes","Yes","No",273.10458516026
"9478","mid-low","101-150m2","Rented","Temperate","Guanajuato","2.5k-15k","No",1,"brick","concrete","cement",99,1,"Yes","Yes","No","Yes","Yes","No",995.698037701408
"9479","mid-low","31-55m2","Rented","Temperate","Guanajuato","2.5k-15k","No",1,"brick","concrete","wood/mosaic",99,1,"Yes","Yes","No","Yes","Yes","Yes",69.4038942441276
"9484","mid-low","56-75m2","Owned","Temperate","Guanajuato","2.5k-15k","No",1,"brick","concrete","wood/mosaic",9,2,"Yes","Yes","Yes","Yes","Yes","Yes",114.971993521393
"9485","mid-low","56-75m2","Rented","Temperate","Guanajuato","2.5k-15k","No",1,"brick","concrete","cement",99,1,"Yes","Yes","No","No","Yes","No",239.78621261311
"9492","mid-low","101-150m2","Owned","Temperate","Guanajuato","2.5k-15k","No",1,"brick","concrete","cement",15,2,"Yes","Yes","No","Yes","Yes","No",150.83408164675
"9494","mid-low","56-75m2","Owned","Temperate","Guanajuato","2.5k-15k","No",1,"brick","concrete","cement",11,1,"Yes","Yes","Yes","Yes","Yes","No",162.746587259101
"9496","mid-low","56-75m2","Owned","Temperate","Guanajuato","2.5k-15k","No",1,"brick","concrete","wood/mosaic",19,2,"No","Yes","No","Yes","Yes","No",218.057079764454
"9503","mid-low","56-75m2","Owned","Temperate","Guanajuato","2.5k-15k","No",1,"brick","concrete","cement",99,1,"Yes","Yes","No","Yes","Yes","No",161.45092215238
"9506","mid-low","151-200m2","Owned","Temperate","Guanajuato","2.5k-15k","No",1,"brick","concrete","wood/mosaic",18,2,"Yes","Yes","Yes","Yes","Yes","No",84.8427693514644
"9507","mid-low","101-150m2","Owned","Temperate","Guanajuato","2.5k-15k","No",1,"brick","concrete","wood/mosaic",14,2,"Yes","Yes","Yes","Yes","Yes","No",79.0530203974895
"9509","mid-low","151-200m2","Owned","Temperate","Guanajuato","2.5k-15k","No",2,"brick","concrete","wood/mosaic",6,2,"Yes","Yes","Yes","Yes","Yes","No",103.659453451883
"9511","mid-low","151-200m2","Owned","Temperate","Guanajuato","<2.5k","No",2,"brick","concrete","wood/mosaic",40,3,"Yes","Yes","No","Yes","Yes","No",97.4626419605499
"9512","mid-low","31-55m2","Owned","Temperate","Guanajuato","<2.5k","No",1,"brick","concrete","cement",55,2,"Yes","No","Yes","Yes","No","No",52.5887227526572
"9513","mid-low","76-100m2","Owned","Temperate","Guanajuato","<2.5k","No",1,"brick","concrete","cement",27,3,"Yes","Yes","Yes","Yes","Yes","No",141.229881881605
"9515","mid-low","31-55m2","Owned","Temperate","Guanajuato","<2.5k","No",1,"brick","concrete","cement",20,2,"Yes","No","No","Yes","Yes","No",169.947157560268
"9517","mid-low",">30m2","Owned","Temperate","Guanajuato","<2.5k","No",1,"brick","concrete","cement",20,1,"Yes","No","No","Yes","Yes","No",79.3974209479388
"9523","mid-low","31-55m2","Owned","Temperate","Guanajuato","<2.5k","No",1,"brick","concrete","wood/mosaic",18,3,"Yes","Yes","Yes","Yes","Yes","No",194.321971425563
"9526","mid-low","<201m2","Owned","Temperate","Guanajuato","<2.5k","No",2,"brick","concrete","cement",37,2,"Yes","No","No","No","Yes","No",151.028517045648
"9531","mid-low","56-75m2","Owned","Temperate","Guanajuato","<2.5k","No",1,"brick","concrete","cement",13,4,"Yes","Yes","Yes","Yes","Yes","No",107.2388366829
"9532","mid-low","31-55m2","Owned","Temperate","Guanajuato","<2.5k","No",1,"brick","concrete","cement",17,2,"No","No","No","Yes","Yes","Yes",66.0456412968311
"9533","mid-low","56-75m2","Owned","Temperate","Guanajuato","<2.5k","No",1,"brick","metal laminate","cement",24,4,"Yes","Yes","No","Yes","Yes","Yes",144.458451336603
"9536","mid-low","56-75m2","Owned","Temperate","Guanajuato","<2.5k","No",1,"brick","concrete","cement",40,1,"Yes","Yes","No","Yes","No","Yes",133.804085517148
"9537","mid-low",">30m2","Owned","Temperate","Guanajuato","<2.5k","No",1,"brick","concrete","cement",99,1,"No","No","Yes","Yes","Yes","No",61.0257788435698
"9538","mid-low","101-150m2","Owned","Temperate","Guanajuato","<2.5k","No",2,"brick","concrete","cement",8,4,"Yes","Yes","Yes","Yes","Yes","Yes",112.300912271075
"9539","mid-low","76-100m2","Owned","Temperate","Guanajuato","<2.5k","No",1,"brick","concrete","wood/mosaic",21,2,"Yes","Yes","No","Yes","Yes","No",169.278969354442
"9540","mid-low","101-150m2","Borrowed","Temperate","Guanajuato","<2.5k","No",2,"brick","concrete","wood/mosaic",99,1,"Yes","No","Yes","Yes","Yes","No",144.458451336603
"9541","mid-low",">30m2","Borrowed","Temperate","Guanajuato","<2.5k","No",1,"brick","asbestus laminate","wood/mosaic",25,1,"Yes","Yes","Yes","Yes","Yes","No",59.0884525310755
"9542","mid-low","31-55m2","Owned","Temperate","Guanajuato","<2.5k","No",1,"brick","asbestus laminate","cement",36,2,"Yes","Yes","Yes","Yes","Yes","No",30.7259953161592
"9543","mid-low","151-200m2","Owned","Temperate","Guanajuato","<2.5k","No",2,"brick","concrete","wood/mosaic",40,2,"Yes","Yes","Yes","Yes","Yes","No",111.67662881052
"9545","mid-low","31-55m2","Borrowed","Temperate","Guanajuato","<2.5k","No",1,"brick","concrete","cement",20,1,"Yes","No","Yes","Yes","Yes","No",60.0414920880283
"9546","mid-low","101-150m2","Borrowed","Temperate","Guanajuato","<2.5k","No",1,"brick","concrete","cement",16,2,"Yes","Yes","Yes","Yes","Yes","Yes",105.720214006448
"9547","mid-low","31-55m2","Owned","Temperate","Guanajuato","<2.5k","No",1,"brick","concrete","cement",15,2,"No","No","Yes","No","Yes","No",75.8539680362165
"9548","mid-low","56-75m2","Owned","Temperate","Guanajuato","<2.5k","No",1,"brick","asbestus laminate","cement",10,1,"No","No","No","No","No","No",159.809064953605
"9549","mid-low","101-150m2","Owned","Temperate","Guanajuato","<2.5k","No",1,"brick","concrete","wood/mosaic",4,2,"Yes","Yes","Yes","Yes","Yes","Yes",124.956101241512
"9550","mid-low","101-150m2","Owned","Temperate","Guanajuato","<2.5k","No",2,"brick","concrete","wood/mosaic",20,1,"Yes","No","No","Yes","No","No",146.82662266999
"9551","low","101-150m2","Owned","Temperate","Guanajuato","<2.5k","No",2,"brick","concrete","cement",19,3,"No","No","Yes","Yes","No","No",32.343662787092
"9553","low","56-75m2","Owned","Temperate","Guanajuato","<2.5k","No",1,"brick","concrete","wood/mosaic",30,2,"Yes","No","No","No","Yes","No",133.378838380257
"9554","low","31-55m2","Owned","Temperate","Guanajuato","<2.5k","No",1,"adobe","cement tile","cement",25,1,"Yes","No","No","Yes","Yes","No",31.5472246564217
"9555","low","31-55m2","Owned","Temperate","Guanajuato","<2.5k","No",1,"brick","tile","cement",80,1,"No","No","No","Yes","No","No",71.9276722166414
"9557","low","31-55m2","Owned","Temperate","Guanajuato","<2.5k","No",1,"brick","asbestus laminate","cement",40,2,"No","No","No","Yes","No","No",135.995674065669
"9558","low","31-55m2","Owned","Temperate","Guanajuato","<2.5k","No",1,"brick","concrete","cement",17,1,"No","No","Yes","Yes","Yes","No",92.0526099183757
"9559","low","31-55m2","Borrowed","Temperate","Guanajuato","<2.5k","No",1,"brick","concrete","cement",5,1,"Yes","No","Yes","Yes","Yes","No",45.4280035052472
"9560","low","56-75m2","Owned","Temperate","Guanajuato","<2.5k","No",1,"brick","asbestus laminate","cement",44,1,"No","No","No","Yes","Yes","No",31.5472246564217
"9561","low","101-150m2","Owned","Temperate","Guanajuato","<2.5k","No",1,"brick","asbestus laminate","cement",30,3,"Yes","No","No","Yes","Yes","No",143.054113889595
"9563","low",">30m2","Owned","Temperate","Guanajuato","<2.5k","No",1,"brick","concrete","cement",18,2,"No","No","No","Yes","Yes","No",145.554023155373
"9564","low",">30m2","Borrowed","Temperate","Guanajuato","<2.5k","No",1,"brick","metal laminate","cement",20,1,"Yes","No","No","No","Yes","No",113.819534947527
"9570","low","56-75m2","Owned","Temperate","Guanajuato","<2.5k","No",1,"brick","metal laminate","cement",10,2,"Yes","No","No","Yes","No","No",181.98127245672
"9576","mid-low","56-75m2","Borrowed","Temperate","Guanajuato","<2.5k","No",1,"brick","concrete","cement",99,2,"Yes","Yes","No","Yes","Yes","Yes",160.816161757995
"9577","mid-low","76-100m2","Owned","Temperate","Guanajuato","<2.5k","No",2,"brick","concrete","cement",12,3,"Yes","Yes","Yes","Yes","Yes","No",82.6122260832565
"9579","mid-low","101-150m2","Owned","Temperate","Guanajuato","<2.5k","No",2,"brick","concrete","wood/mosaic",18,2,"Yes","Yes","Yes","Yes","Yes","No",31.5472246564217
"9581","mid-low","31-55m2","Owned","Temperate","Guanajuato","<2.5k","No",1,"brick","concrete","cement",8,2,"Yes","Yes","Yes","Yes","Yes","No",30.5128894217849
"9582","mid-low","101-150m2","Owned","Temperate","Guanajuato","<2.5k","No",1,"brick","concrete","wood/mosaic",20,4,"Yes","Yes","Yes","Yes","Yes","Yes",129.005761712052
"9583","mid-low","<201m2","Owned","Temperate","Guanajuato","<2.5k","No",2,"brick","concrete","cement",3,3,"Yes","Yes","Yes","Yes","Yes","Yes",170.487941868221
"9584","mid-low","76-100m2","Owned","Temperate","Guanajuato","<2.5k","No",1,"brick","concrete","cement",13,2,"Yes","Yes","Yes","Yes","Yes","No",124.449893682694
"9585","mid-low","76-100m2","Owned","Temperate","Guanajuato","<2.5k","No",1,"brick","concrete","cement",7,2,"Yes","Yes","No","Yes","Yes","Yes",146.446847893151
"9587","mid-low","31-55m2","Owned","Temperate","Guanajuato","<2.5k","No",1,"brick","tile","cement",20,2,"Yes","No","Yes","Yes","Yes","Yes",34.1744361523991
"9592","mid-low","31-55m2","Owned","Temperate","Guanajuato","<2.5k","No",1,"brick","concrete","wood/mosaic",39,2,"Yes","Yes","Yes","Yes","Yes","No",83.5952895127547
"9611","low","31-55m2","Owned","Temperate","Guanajuato","<2.5k","No",1,"brick","concrete","cement",9,2,"Yes","Yes","No","No","Yes","No",31.5472246564217
"9613","low","56-75m2","Owned","Temperate","Guanajuato","<2.5k","No",2,"brick","concrete","wood/mosaic",10,1,"Yes","No","Yes","Yes","Yes","Yes",155.980271702882
"9614","low","31-55m2","Owned","Temperate","Guanajuato","<2.5k","No",1,"brick","concrete","cement",15,2,"No","Yes","No","Yes","Yes","No",106.226421565265
"9616","low","56-75m2","Borrowed","Temperate","Guanajuato","<2.5k","No",1,"brick","concrete","cement",10,2,"Yes","Yes","Yes","Yes","Yes","No",77.8787982714864
"9621","low","56-75m2","Owned","Temperate","Guanajuato","<2.5k","No",1,"brick","concrete","wood/mosaic",14,1,"Yes","Yes","Yes","Yes","Yes","No",105.117012977803
"9622","low","101-150m2","Owned","Temperate","Guanajuato","<2.5k","No",2,"brick","concrete","wood/mosaic",17,2,"Yes","No","Yes","Yes","No","No",30.0207460440142
"9625","low","56-75m2","Owned","Temperate","Guanajuato","<2.5k","No",1,"brick","concrete","cement",30,1,"Yes","No","No","Yes","Yes","No",154.080457752659
"9626","low","31-55m2","Owned","Temperate","Guanajuato","<2.5k","No",1,"brick","concrete","cement",10,2,"Yes","No","Yes","Yes","Yes","No",128.419152382238
"9627","low","76-100m2","Owned","Temperate","Guanajuato","<2.5k","No",1,"brick","concrete","cement",8,2,"Yes","No","No","Yes","Yes","No",68.1420052578708
"9628","low","151-200m2","Owned","Temperate","Guanajuato","<2.5k","No",1,"brick","concrete","cement",5,3,"Yes","Yes","No","Yes","Yes","Yes",111.28849715344
"9629","low","101-150m2","Owned","Temperate","Guanajuato","<2.5k","No",1,"brick","concrete","cement",2,2,"Yes","Yes","Yes","Yes","Yes","No",92.5600620866514
"9631","mid-low","151-200m2","Borrowed","Temperate","Guanajuato","<2.5k","No",1,"brick","concrete","wood/mosaic",20,1,"Yes","Yes","Yes","Yes","Yes","No",137.151688885819
"9632","mid-low","101-150m2","Owned","Temperate","Guanajuato","<2.5k","No",1,"brick","concrete","cement",17,2,"Yes","Yes","Yes","Yes","Yes","Yes",211.820497674075
"9633","mid-low","76-100m2","Owned","Temperate","Guanajuato","<2.5k","No",2,"brick","concrete","cement",34,4,"Yes","Yes","Yes","Yes","Yes","Yes",263.40574704704
"9636","mid-low","76-100m2","Owned","Temperate","Guanajuato","<2.5k","No",2,"brick","concrete","wood/mosaic",9,2,"Yes","Yes","Yes","Yes","Yes","Yes",140.040408924501
"9637","mid-low","31-55m2","Owned","Temperate","Guanajuato","<2.5k","No",1,"brick","concrete","wood/mosaic",9,2,"Yes","Yes","Yes","Yes","Yes","Yes",111.983735996761
"9639","mid-low","76-100m2","Rented","Temperate","Guanajuato","<2.5k","No",1,"brick","concrete","cement",10,3,"Yes","Yes","Yes","Yes","Yes","Yes",152.105063203702
"9640","mid-low","76-100m2","Owned","Temperate","Guanajuato","<2.5k","No",1,"brick","concrete","cement",2,2,"Yes","Yes","Yes","Yes","Yes","No",117.558278541542
"9642","mid-low","56-75m2","Owned","Temperate","Guanajuato","<2.5k","No",1,"brick","concrete","cement",4,1,"Yes","No","No","Yes","Yes","No",51.4069537020357
"9643","mid-low","56-75m2","Rented","Temperate","Guanajuato","<2.5k","No",1,"brick","concrete","cement",99,3,"Yes","Yes","Yes","Yes","Yes","No",267.378453329589
"9644","mid-low","76-100m2","Owned","Temperate","Guanajuato","<2.5k","No",1,"brick","concrete","cement",10,1,"Yes","No","No","Yes","Yes","No",53.7026853823414
"9647","mid-low","<201m2","Rented","Temperate","Guanajuato","<2.5k","No",2,"brick","concrete","wood/mosaic",99,2,"Yes","Yes","No","Yes","Yes","Yes",118.048416019127
"9648","mid-low","101-150m2","Owned","Temperate","Guanajuato","<2.5k","No",1,"brick","concrete","cement",8,2,"Yes","Yes","No","Yes","Yes","No",144.798300752918
"9649","mid-low","101-150m2","Owned","Temperate","Guanajuato","<2.5k","No",2,"brick","concrete","cement",20,3,"Yes","Yes","No","Yes","Yes","Yes",55.5431453792109
"9652","low","31-55m2","Owned","Temperate","Guanajuato","<2.5k","No",1,"brick","asbestus laminate","cement",22,3,"Yes","Yes","Yes","Yes","Yes","No",64.9872827922286
"9654","low","101-150m2","Owned","Temperate","Guanajuato","<2.5k","No",1,"brick","asbestus laminate","cement",28,3,"Yes","Yes","Yes","Yes","Yes","No",39.1185585739629
"9655","low","56-75m2","Owned","Temperate","Guanajuato","<2.5k","No",1,"brick","concrete","cement",14,2,"Yes","Yes","No","Yes","Yes","No",124.481597049855
"9656","low","<201m2","Owned","Temperate","Guanajuato","<2.5k","No",1,"brick","concrete","cement",40,3,"Yes","No","No","Yes","No","No",140.182611162329
"9657","low","76-100m2","Owned","Temperate","Guanajuato","<2.5k","No",1,"brick","concrete","cement",20,3,"Yes","Yes","Yes","Yes","Yes","No",77.9019218495142
"9659","low","76-100m2","Owned","Temperate","Guanajuato","<2.5k","No",1,"brick","metal laminate","cement",25,4,"Yes","Yes","No","Yes","Yes","No",146.08971799804
"9660","low","101-150m2","Owned","Temperate","Guanajuato","<2.5k","No",1,"brick","concrete","cement",20,2,"Yes","Yes","Yes","Yes","Yes","No",31.5472246564217
"9662","low","<201m2","Owned","Temperate","Guanajuato","<2.5k","No",1,"brick","concrete","cement",40,1,"Yes","Yes","No","Yes","Yes","No",169.342688895687
"9663","low","101-150m2","Owned","Temperate","Guanajuato","<2.5k","No",1,"brick","asbestus laminate","cement",35,3,"Yes","Yes","No","Yes","Yes","No",75.713339175412
"9667","low",">30m2","Owned","Temperate","Guanajuato","<2.5k","No",1,"brick","concrete","cement",30,2,"Yes","Yes","Yes","Yes","Yes","No",230.780203080749
"9669","low","31-55m2","Owned","Temperate","Guanajuato","<2.5k","No",1,"brick","concrete","wood/mosaic",5,2,"Yes","Yes","Yes","Yes","Yes","No",48.0331936704226
"9671","low","101-150m2","Owned","Temperate","Guanajuato","<2.5k","No",1,"adobe","tile","cement",80,3,"Yes","Yes","Yes","Yes","Yes","No",85.4719116537485
"9673","low","56-75m2","Owned","Temperate","Guanajuato","<2.5k","No",1,"brick","concrete","wood/mosaic",5,2,"Yes","Yes","Yes","Yes","Yes","No",85.4719116537485
"9678","low","<201m2","Owned","Temperate","Guanajuato","<2.5k","No",2,"brick","concrete","wood/mosaic",15,5,"Yes","Yes","Yes","Yes","Yes","Yes",141.909580714236
"9679","low","56-75m2","Borrowed","Temperate","Guanajuato","<2.5k","No",1,"brick","tile","cement",99,2,"Yes","Yes","Yes","Yes","Yes","Yes",131.030591947322
"9682","low","31-55m2","Borrowed","Temperate","Guanajuato","<2.5k","No",1,"brick","concrete","wood/mosaic",9,2,"Yes","Yes","No","Yes","Yes","No",126.474723917964
"9683","low","31-55m2","Owned","Temperate","Guanajuato","<2.5k","No",1,"brick","concrete","cement",20,2,"Yes","No","Yes","Yes","Yes","Yes",77.1182008368201
"9684","low","101-150m2","Owned","Temperate","Guanajuato","<2.5k","No",1,"brick","concrete","wood/mosaic",12,2,"Yes","Yes","No","Yes","Yes","No",91.5464023595583
"9685","low","56-75m2","Owned","Temperate","Guanajuato","<2.5k","No",1,"adobe","metal laminate","cement",40,2,"Yes","Yes","No","No","Yes","No",62.0428751576293
"9686","low","31-55m2","Owned","Temperate","Guanajuato","<2.5k","No",1,"brick","concrete","wood/mosaic",7,3,"Yes","Yes","Yes","Yes","Yes","No",54.9232009592128
